,분기당매출금액,0
407,1530,1520.0
408,257,353.0
409,1530,1127.0
410,389,523.0
411,230,304.0
412,234,244.0
413,1530,1397.0
414,1530,1258.0
415,851,851.0
416,1076,1119.0
417,966,859.0
418,422,462.0
419,1014,832.0
420,1328,1246.0
421,605,616.0
422,429,330.0
423,439,543.0
424,440,446.0
425,548,556.0
426,1338,1331.0
427,1530,1540.0
428,195,169.0
429,1034,1006.0
430,143,185.0
431,509,659.0
432,823,769.0
433,1530,1437.0
434,1530,1535.0
435,215,123.0
436,378,449.0
437,1454,1444.0
438,530,407.0
439,1016,1065.0
440,483,473.0
441,1104,1171.0
442,438,368.0
443,814,861.0
444,380,688.0
445,1038,1025.0
446,620,561.0
447,860,976.0
448,1424,1244.0
449,764,815.0
450,586,693.0
451,245,215.0
452,1371,1290.0
453,1530,1475.0
454,1530,1477.0
455,228,174.0
456,1163,1204.0
457,654,672.0
458,970,884.0
459,1530,1472.0
460,1530,1494.0
461,306,387.0
462,584,906.0
463,378,431.0
464,329,345.0
465,370,451.0
466,1530,1526.0
467,386,356.0
468,139,182.0
469,683,634.0
470,1530,1567.0
471,1530,1487.0
472,1530,1501.0
473,557,983.0
474,479,433.0
475,1530,1361.0
476,1165,1120.0
477,560,614.0
478,1426,1358.0
479,885,891.0
480,607,605.0
481,133,190.0
482,212,428.0
483,1386,1345.0
484,726,750.0
485,128,142.0
486,136,176.0
487,1114,1253.0
488,1530,1438.0
489,103,155.0
490,431,570.0
491,184,140.0
492,507,289.0
493,272,358.0
494,1362,1308.0
495,1530,1599.0
496,513,545.0
497,798,1066.0
498,326,383.0
499,346,266.0
500,791,865.0
501,774,926.0
502,872,891.0
503,980,1103.0
504,276,279.0
505,289,284.0
506,769,832.0
507,615,636.0
508,1530,1492.0
509,589,653.0
510,1530,1467.0
511,1077,1221.0
512,663,732.0
513,1530,1344.0
514,475,440.0
515,1530,1509.0
516,697,610.0
517,1530,1173.0
518,491,557.0
519,548,488.0
520,1014,957.0
521,443,469.0
522,246,305.0
523,466,467.0
524,109,278.0
525,1530,1449.0
526,449,486.0
527,1530,1536.0
528,189,192.0
529,1106,1001.0
530,104,145.0
531,1530,1447.0
532,251,408.0
533,1467,1312.0
534,1530,1551.0
535,1530,1474.0
536,343,413.0
537,353,468.0
538,373,375.0
539,470,440.0
540,841,852.0
541,1530,1598.0
542,668,800.0
543,966,1026.0
544,906,1047.0
545,1530,1425.0
546,392,335.0
547,946,869.0
548,795,878.0
549,169,209.0
550,766,696.0
551,888,854.0
552,1530,1554.0
553,316,364.0
554,590,627.0
555,950,851.0
556,406,537.0
557,705,722.0
558,385,385.0
559,1530,1537.0
560,1530,1530.0
561,1506,1479.0
562,1530,1403.0
563,815,884.0
564,437,355.0
565,1154,1206.0
566,579,623.0
567,813,836.0
568,528,569.0
569,154,84.0
570,692,738.0
571,1530,1503.0
572,1530,1646.0
573,306,366.0
574,1530,1476.0
575,1530,1496.0
576,1530,1463.0
577,926,989.0
578,482,402.0
579,164,223.0
580,151,229.0
581,807,831.0
582,1069,979.0
583,113,110.0
584,1008,1050.0
585,1480,1297.0
586,1530,1576.0
587,181,240.0
588,933,880.0
589,516,463.0
590,481,510.0
591,383,383.0
592,171,162.0
593,1530,1522.0
594,722,755.0
595,188,169.0
596,149,247.0
597,1079,1187.0
598,273,310.0
599,1236,1082.0
600,1471,1429.0
601,141,284.0
602,327,348.0
603,1530,1509.0
604,1530,1578.0
605,867,946.0
606,260,317.0
607,582,601.0
608,513,474.0
609,705,701.0
610,1530,1457.0
611,1472,1392.0
612,362,357.0
613,1530,1197.0
614,1114,1233.0
615,246,281.0
616,192,246.0
617,649,670.0
618,569,615.0
619,408,438.0
620,1530,1434.0
621,604,662.0
622,527,564.0
623,164,265.0
624,836,690.0
625,125,170.0
626,202,238.0
627,1530,1522.0
628,195,254.0
629,398,488.0
630,651,684.0
631,235,302.0
632,758,791.0
633,578,649.0
634,977,1002.0
635,697,526.0
636,1530,1456.0
637,725,887.0
638,778,812.0
639,1530,1506.0
640,1096,929.0
641,1530,1505.0
642,727,793.0
643,1530,1339.0
644,1530,1516.0
645,576,530.0
646,1173,1230.0
647,1530,1396.0
648,1530,1343.0
649,654,642.0
650,170,255.0
651,1530,1516.0
652,106,228.0
653,895,977.0
654,588,572.0
655,1530,1543.0
656,825,938.0
657,490,483.0
658,1530,1469.0
659,1310,1193.0
660,927,718.0
661,668,630.0
662,433,454.0
663,745,754.0
664,1095,1050.0
665,660,682.0
666,819,990.0
667,181,208.0
668,170,237.0
669,383,234.0
670,1530,1520.0
671,1150,1043.0
672,182,184.0
673,369,259.0
674,461,441.0
675,567,690.0
676,257,347.0
677,868,848.0
678,1530,1469.0
679,285,271.0
680,1458,1312.0
681,1074,1070.0
682,618,578.0
683,109,178.0
684,1530,1505.0
685,388,443.0
686,1530,1286.0
687,338,440.0
688,1253,1090.0
689,1530,1411.0
690,458,479.0
691,959,1001.0
692,509,467.0
693,458,554.0
694,864,1017.0
695,629,711.0
696,1530,1541.0
697,478,462.0
698,338,312.0
699,1530,1414.0
700,1530,1552.0
701,429,436.0
702,1530,1469.0
703,323,369.0
704,533,505.0
705,1530,1276.0
706,214,352.0
707,811,781.0
708,1530,1206.0
709,1530,1607.0
710,208,705.0
711,274,357.0
712,512,448.0
713,787,853.0
714,448,442.0
715,620,730.0
716,709,639.0
717,1202,1295.0
718,1096,1143.0
719,299,263.0
720,398,452.0
721,1530,1531.0
722,254,264.0
723,187,183.0
724,1071,1171.0
725,399,549.0
726,1530,1557.0
727,1530,1520.0
728,407,547.0
729,575,537.0
730,372,237.0
731,775,796.0
732,1178,1090.0
733,643,583.0
734,520,663.0
735,318,421.0
736,931,1109.0
737,386,474.0
738,621,663.0
739,667,587.0
740,312,260.0
741,730,684.0
742,1080,1058.0
743,1374,1234.0
744,1468,1447.0
745,1530,1548.0
746,1423,1198.0
747,1054,1019.0
748,1146,1231.0
749,1530,1475.0
750,357,363.0
751,241,344.0
752,373,456.0
753,425,749.0
754,1530,1563.0
755,863,953.0
756,513,508.0
757,358,558.0
758,1217,1189.0
759,389,482.0
760,753,1080.0
761,1175,1041.0
762,1530,1404.0
763,1522,1451.0
764,1278,1097.0
765,1258,1357.0
766,1530,1526.0
767,1402,1325.0
768,813,594.0
769,456,514.0
770,705,836.0
771,186,414.0
772,806,748.0
773,322,387.0
774,945,858.0
775,459,473.0
776,967,988.0
777,1530,1446.0
778,1483,1382.0
779,690,769.0
780,105,126.0
781,1530,1511.0
782,1042,945.0
783,698,753.0
784,1530,1377.0
785,208,296.0
786,215,255.0
787,607,633.0
788,962,1002.0
789,570,550.0
790,827,709.0
791,107,131.0
792,497,628.0
793,1303,1276.0
794,404,534.0
795,654,647.0
796,907,849.0
797,372,451.0
798,326,367.0
799,570,649.0
800,602,598.0
801,397,395.0
802,691,656.0
803,914,969.0
804,1418,1363.0
805,1032,1025.0
806,1530,1421.0
807,403,357.0
808,565,542.0
809,276,236.0
810,1429,1403.0
811,802,753.0
812,229,278.0
813,1530,1519.0
814,886,780.0
815,1022,887.0
816,1530,1564.0
817,942,879.0
818,1530,1503.0
819,1530,1516.0
820,1228,1266.0
821,121,147.0
822,1530,1518.0
823,352,347.0
824,1530,1492.0
825,1530,1390.0
826,727,793.0
827,248,307.0
828,1358,1392.0
829,1391,1177.0
830,242,330.0
831,720,649.0
832,243,228.0
833,517,607.0
834,244,391.0
835,1009,1038.0
836,1483,1361.0
837,226,308.0
838,841,917.0
839,752,809.0
840,555,663.0
841,1530,1539.0
842,1530,1470.0
843,1530,1579.0
844,635,497.0
845,1167,1224.0
846,160,185.0
847,195,162.0
848,379,485.0
849,104,215.0
850,219,253.0
851,1530,1440.0
852,738,728.0
853,729,775.0
854,1530,1523.0
855,727,838.0
856,640,586.0
857,139,257.0
858,1530,1337.0
859,574,776.0
860,823,1047.0
861,1530,1383.0
862,1530,1554.0
863,1038,961.0
864,671,709.0
865,285,371.0
866,1530,1448.0
867,255,299.0
868,1530,1463.0
869,418,425.0
870,500,427.0
871,1530,1391.0
872,1530,1514.0
873,1530,1493.0
874,210,444.0
875,463,352.0
876,1530,1537.0
877,890,819.0
878,371,287.0
879,121,139.0
880,1295,1360.0
881,898,1187.0
882,140,137.0
883,1530,1455.0
884,479,816.0
885,506,466.0
886,1530,1430.0
887,1397,1369.0
888,181,247.0
889,694,611.0
890,522,548.0
891,730,767.0
892,1527,1526.0
893,1530,1527.0
894,1044,1084.0
895,951,1029.0
896,1525,1505.0
897,200,396.0
898,209,300.0
899,357,515.0
900,1279,1338.0
901,241,356.0
902,1530,1613.0
903,175,196.0
904,584,523.0
905,462,460.0
906,1530,1556.0
907,518,708.0
908,1530,1297.0
909,1530,1504.0
910,835,861.0
911,615,658.0
912,978,1071.0
913,710,983.0
914,1530,1468.0
915,563,861.0
916,1530,1399.0
917,392,442.0
918,1432,1459.0
919,378,448.0
920,203,116.0
921,421,346.0
922,908,954.0
923,833,861.0
924,176,215.0
925,1380,1234.0
926,1530,1313.0
927,1530,1463.0
928,1530,1434.0
929,1530,1426.0
930,503,502.0
931,1179,1149.0
932,208,293.0
933,903,835.0
934,433,417.0
935,790,724.0
936,710,662.0
937,803,790.0
938,1530,1445.0
939,841,725.0
940,267,383.0
941,129,193.0
942,671,780.0
943,309,372.0
944,1530,1273.0
945,1024,932.0
946,365,608.0
947,486,570.0
948,1390,1264.0
949,1530,1543.0
950,435,379.0
951,792,852.0
952,333,433.0
953,1530,1544.0
954,936,928.0
955,329,303.0
956,428,395.0
957,827,730.0
958,1530,1378.0
959,1002,1095.0
960,1076,1155.0
961,1530,1415.0
962,572,630.0
963,1530,1536.0
964,619,811.0
965,253,332.0
966,1530,1339.0
967,1081,1079.0
968,288,329.0
969,665,763.0
970,530,634.0
971,458,537.0
972,335,386.0
973,1530,1530.0
974,1092,1177.0
975,231,283.0
976,215,248.0
977,886,928.0
978,893,741.0
979,1430,1539.0
980,558,534.0
981,404,363.0
982,1530,1147.0
983,335,387.0
984,1530,1438.0
985,792,732.0
986,1295,1320.0
987,148,199.0
988,241,301.0
989,942,956.0
990,197,210.0
991,1196,1214.0
992,899,849.0
993,382,466.0
994,413,417.0
995,787,772.0
996,164,249.0
997,645,909.0
998,556,572.0
999,796,815.0
1000,1037,1027.0
1001,801,788.0
1002,336,404.0
1003,977,1140.0
1004,141,595.0
1005,359,407.0
1006,102,159.0
1007,1254,1308.0
1008,1530,1633.0
1009,789,877.0
1010,515,562.0
1011,241,437.0
1012,1499,1273.0
1013,1530,1401.0
1014,1530,1564.0
1015,1530,1396.0
1016,991,1012.0
1017,1402,1430.0
1018,579,578.0
1019,1291,1184.0
1020,1530,934.0
1021,321,483.0
1022,313,406.0
1023,1530,1469.0
1024,1279,1017.0
1025,326,391.0
1026,415,384.0
1027,1530,1623.0
1028,1530,1644.0
1029,852,694.0
1030,244,351.0
1031,1530,1348.0
1032,608,684.0
1033,1530,1615.0
1034,1410,1477.0
1035,737,705.0
1036,1530,1349.0
1037,393,388.0
1038,316,463.0
1039,349,430.0
1040,156,103.0
1041,1530,1357.0
1042,1530,1476.0
1043,1085,1046.0
1044,685,661.0
1045,1283,1134.0
1046,259,379.0
1047,888,1027.0
1048,1530,1566.0
1049,671,540.0
1050,418,401.0
1051,1530,1426.0
1052,1530,1282.0
1053,340,392.0
1054,1530,1528.0
1055,1337,1206.0
1056,1419,1425.0
1057,1064,1153.0
1058,1530,1657.0
1059,687,667.0
1060,417,597.0
1061,1249,1190.0
1062,1444,1465.0
1063,463,409.0
1064,427,426.0
1065,1409,1362.0
1066,532,545.0
1067,352,426.0
1068,853,867.0
1069,1530,1573.0
1070,108,127.0
1071,1530,1520.0
1072,1530,1468.0
1073,156,140.0
1074,185,195.0
1075,256,453.0
1076,1530,1497.0
1077,355,392.0
1078,771,891.0
1079,530,848.0
1080,502,460.0
1081,1530,1473.0
1082,217,251.0
1083,1530,1171.0
1084,441,459.0
1085,1130,880.0
1086,569,541.0
1087,1530,1510.0
1088,461,450.0
1089,205,233.0
1090,624,689.0
1091,129,170.0
1092,1390,1368.0
1093,412,509.0
1094,327,331.0
1095,941,872.0
1096,868,800.0
1097,331,553.0
1098,286,306.0
1099,291,392.0
1100,447,488.0
1101,1530,1397.0
1102,1530,1424.0
1103,1530,1499.0
1104,768,661.0
1105,1530,1417.0
1106,1530,1382.0
1107,211,219.0
1108,695,696.0
1109,1530,1340.0
1110,287,355.0
1111,1530,1567.0
1112,790,749.0
1113,1127,1155.0
1114,1530,1370.0
1115,763,798.0
1116,515,473.0
1117,1530,1494.0
1118,1530,1464.0
1119,670,668.0
1120,600,476.0
1121,936,1090.0
1122,178,219.0
1123,1530,1416.0
1124,200,408.0
1125,1291,1141.0
1126,224,280.0
1127,434,493.0
1128,1530,1216.0
1129,1530,1459.0
1130,1530,1488.0
1131,1277,1289.0
1132,713,685.0
1133,1447,1316.0
1134,138,131.0
1135,1530,1521.0
1136,784,793.0
1137,627,809.0
1138,1530,1452.0
1139,1218,1064.0
1140,964,904.0
1141,453,591.0
1142,1530,1501.0
1143,181,373.0
1144,1530,1232.0
1145,127,187.0
1146,1086,932.0
1147,1530,1455.0
1148,899,968.0
1149,1530,1577.0
1150,1530,1340.0
1151,1530,1510.0
1152,1164,1082.0
1153,259,183.0
1154,665,871.0
1155,1415,1108.0
1156,1305,1340.0
1157,332,283.0
1158,701,713.0
1159,403,449.0
1160,151,180.0
1161,405,504.0
1162,229,212.0
1163,1530,1496.0
1164,1530,1582.0
1165,759,813.0
1166,1530,1399.0
1167,784,765.0
1168,310,287.0
1169,465,420.0
1170,947,915.0
1171,1052,954.0
1172,1530,1666.0
1173,352,403.0
1174,953,917.0
1175,850,952.0
1176,157,207.0
1177,1137,980.0
1178,248,252.0
1179,1469,1447.0
1180,699,759.0
1181,1155,1164.0
1182,744,743.0
1183,1268,1220.0
1184,539,447.0
1185,471,497.0
1186,462,580.0
1187,241,323.0
1188,630,670.0
1189,625,603.0
1190,344,352.0
1191,1149,1243.0
1192,1530,1505.0
1193,311,164.0
1194,1530,1411.0
1195,1530,1598.0
1196,1530,1460.0
1197,718,797.0
1198,563,609.0
1199,1530,1550.0
1200,1275,892.0
1201,735,743.0
1202,985,876.0
1203,750,768.0
1204,371,382.0
1205,162,306.0
1206,837,982.0
1207,188,211.0
1208,156,305.0
1209,507,432.0
1210,1530,1363.0
1211,682,709.0
1212,1530,1501.0
1213,1119,1078.0
1214,845,769.0
1215,261,293.0
1216,102,217.0
1217,704,724.0
1218,1530,1557.0
1219,824,898.0
1220,546,770.0
1221,478,487.0
1222,757,751.0
1223,747,720.0
1224,542,563.0
1225,337,440.0
1226,1530,1399.0
1227,1530,1368.0
1228,794,916.0
1229,135,170.0
1230,1530,1522.0
1231,913,898.0
1232,1421,1344.0
1233,1530,1535.0
1234,996,1026.0
1235,767,718.0
1236,364,525.0
1237,1293,1229.0
1238,979,974.0
1239,676,738.0
1240,208,400.0
1241,1032,1197.0
1242,855,1012.0
1243,1069,1191.0
1244,1157,1102.0
1245,241,222.0
1246,685,561.0
1247,330,348.0
1248,305,333.0
1249,183,193.0
1250,142,236.0
1251,1530,1418.0
1252,536,538.0
1253,1187,887.0
1254,166,220.0
1255,1018,991.0
1256,467,433.0
1257,280,400.0
1258,398,451.0
1259,644,603.0
1260,382,381.0
1261,202,257.0
1262,478,535.0
1263,546,607.0
1264,1151,1185.0
1265,114,174.0
1266,1530,1441.0
1267,985,1061.0
1268,1530,1461.0
1269,1530,1464.0
1270,221,250.0
1271,1530,1445.0
1272,1347,1374.0
1273,1013,1042.0
1274,183,257.0
1275,1530,1531.0
1276,1117,1173.0
1277,1161,1162.0
1278,535,553.0
1279,253,334.0
1280,1530,1602.0
1281,836,689.0
1282,535,557.0
1283,1530,1503.0
1284,451,417.0
1285,341,369.0
1286,1530,1451.0
1287,275,348.0
1288,543,571.0
1289,659,709.0
1290,961,1035.0
1291,1530,1593.0
1292,483,487.0
1293,1530,1501.0
1294,488,563.0
1295,1367,1320.0
1296,877,812.0
1297,804,858.0
1298,693,619.0
1299,539,493.0
1300,1530,1518.0
1301,317,566.0
1302,1530,1557.0
1303,606,511.0
1304,682,766.0
1305,190,315.0
1306,438,543.0
1307,1167,1170.0
1308,1079,943.0
1309,170,367.0
1310,169,208.0
1311,1530,1532.0
1312,1367,1217.0
1313,816,1011.0
1314,1530,1232.0
1315,665,812.0
1316,1041,1048.0
1317,1530,1368.0
1318,432,558.0
1319,438,530.0
1320,900,789.0
1321,649,682.0
1322,370,479.0
1323,1525,1521.0
1324,475,487.0
1325,407,357.0
1326,257,337.0
1327,1530,1621.0
1328,675,727.0
1329,313,397.0
1330,356,353.0
1331,1207,1218.0
1332,1530,1361.0
1333,276,247.0
1334,563,470.0
1335,944,986.0
1336,1052,881.0
1337,1530,1595.0
1338,713,616.0
1339,123,130.0
1340,386,546.0
1341,1094,1193.0
1342,1530,1432.0
1343,1007,798.0
1344,112,152.0
1345,1530,1364.0
1346,354,542.0
1347,1530,1387.0
1348,189,223.0
1349,579,585.0
1350,1411,1418.0
1351,1530,1416.0
1352,1530,1506.0
1353,628,467.0
1354,449,506.0
1355,1530,1558.0
1356,540,473.0
1357,1530,1413.0
1358,1501,1273.0
1359,754,920.0
1360,370,362.0
1361,266,247.0
1362,1530,1506.0
1363,1474,1459.0
1364,153,188.0
1365,339,407.0
1366,1530,1506.0
1367,197,141.0
1368,988,951.0
1369,565,578.0
1370,244,240.0
1371,1004,1040.0
1372,1530,1551.0
1373,374,477.0
1374,773,694.0
1375,277,277.0
1376,577,432.0
1377,1022,1012.0
1378,1428,1351.0
1379,979,1020.0
1380,919,895.0
1381,235,305.0
1382,1114,1069.0
1383,747,887.0
1384,310,423.0
1385,353,423.0
1386,176,271.0
1387,899,907.0
1388,229,304.0
1389,599,730.0
1390,1530,1490.0
1391,475,493.0
1392,554,613.0
1393,596,643.0
1394,1165,1285.0
1395,998,973.0
1396,609,616.0
1397,394,398.0
1398,1530,1427.0
1399,1447,1276.0
1400,1310,1243.0
1401,987,1070.0
1402,956,1161.0
1403,1530,1483.0
1404,711,712.0
1405,1530,1363.0
1406,1530,1303.0
1407,215,228.0
1408,144,181.0
1409,1088,1127.0
1410,239,324.0
1411,634,650.0
1412,1411,1037.0
1413,884,959.0
1414,404,472.0
1415,1530,1554.0
1416,909,928.0
1417,795,783.0
1418,747,706.0
1419,1530,1416.0
1420,1301,1226.0
1421,1530,1415.0
1422,860,946.0
1423,385,444.0
1424,137,282.0
1425,185,246.0
1426,133,244.0
1427,1530,1442.0
1428,637,637.0
1429,1476,1517.0
1430,216,531.0
1431,803,687.0
1432,1530,1520.0
1433,650,694.0
1434,824,831.0
1435,1530,1378.0
1436,1017,964.0
1437,122,123.0
1438,144,197.0
1439,677,645.0
1440,723,742.0
1441,1530,1440.0
1442,1530,1418.0
1443,1530,1209.0
1444,913,977.0
1445,665,715.0
1446,1530,1601.0
1447,179,211.0
1448,659,634.0
1449,220,209.0
1450,379,503.0
1451,634,768.0
1452,1530,1564.0
1453,1530,1569.0
1454,293,355.0
1455,616,632.0
1456,1530,1593.0
1457,502,476.0
1458,500,655.0
1459,1001,989.0
1460,1300,1350.0
1461,1530,1424.0
1462,1530,1522.0
1463,689,678.0
1464,1125,1122.0
1465,1530,1421.0
1466,1277,1110.0
1467,784,739.0
1468,1418,1447.0
1469,838,799.0
1470,1001,1081.0
1471,895,781.0
1472,844,895.0
1473,1530,1589.0
1474,591,548.0
1475,173,97.0
1476,592,482.0
1477,1194,1215.0
1478,577,647.0
1479,222,214.0
1480,198,278.0
1481,234,201.0
1482,264,273.0
1483,274,303.0
1484,1530,1371.0
1485,1530,1545.0
1486,1364,1411.0
1487,371,456.0
1488,335,405.0
1489,417,424.0
1490,206,340.0
1491,264,217.0
1492,540,524.0
1493,133,327.0
1494,725,635.0
1495,1090,672.0
1496,1530,1501.0
1497,1530,1563.0
1498,228,319.0
1499,375,546.0
1500,934,668.0
1501,1530,1535.0
1502,1530,1404.0
1503,687,661.0
1504,367,418.0
1505,432,469.0
1506,1530,1667.0
1507,1530,1553.0
1508,1286,1204.0
1509,605,614.0
1510,1530,1515.0
1511,379,318.0
1512,777,852.0
1513,182,203.0
1514,660,579.0
1515,667,800.0
1516,1530,1538.0
1517,314,248.0
1518,819,888.0
1519,742,889.0
1520,398,432.0
1521,1292,1155.0
1522,1135,906.0
1523,604,611.0
1524,783,669.0
1525,1169,1106.0
1526,978,940.0
1527,1355,1325.0
1528,1530,1481.0
1529,425,379.0
1530,307,301.0
1531,367,444.0
1532,647,744.0
1533,690,668.0
